date,open,high,low,close,volume
2017/04/18,162.1051,163.3985,161.6739,162.1051,"28,732"
2017/04/19,161.6739,161.6739,160.8117,160.8117,"31,171"
2017/04/20,160.8117,162.1051,160.8117,161.2428,"32,697"
2017/04/21,161.6739,163.8296,161.6739,163.8296,"19,034"
2017/04/24,164.6919,165.123,162.5362,163.8296,"29,572"
2017/04/25,164.2607,165.5541,163.3985,165.5541,"31,952"
2017/04/26,165.5541,165.5541,164.2607,164.6919,"31,119"
2017/04/27,165.5541,166.4164,164.2607,166.4164,"35,812"
2017/04/28,166.8475,167.7098,166.4164,167.7098,"38,381"
2017/05/02,171.1588,171.5899,168.572,169.4343,"45,851"
2017/05/03,170.7277,171.1588,169.8654,170.7277,"27,240"
2017/05/04,171.1588,171.5899,169.8654,170.7277,"22,194"
2017/05/05,169.8654,171.1588,169.8654,170.2965,"17,618"
2017/05/08,171.5899,174.6079,171.5899,174.6079,"39,591"
2017/05/09,177.1946,178.488,175.4701,175.4701,"48,285"
2017/05/10,175.9012,177.6258,175.9012,177.1946,"31,075"
2017/05/11,176.3324,179.7814,175.9012,178.9192,"44,286"
2017/05/12,176.7635,178.488,176.7635,177.6258,"25,507"
2017/05/15,175.9012,177.6258,175.9012,177.6258,"25,922"
2017/05/16,176.7635,176.7635,175.4701,176.3324,"36,604"
2017/05/17,175.039,175.9012,175.039,175.9012,"22,606"
2017/05/18,174.6079,175.9012,173.7456,175.4701,"22,490"
2017/05/19,175.4701,176.3324,174.6079,175.039,"17,163"
2017/05/22,175.4701,176.7635,175.039,176.7635,"17,419"
2017/05/23,176.7635,178.488,176.3324,176.7635,"23,028"
2017/05/24,176.7635,177.6258,176.7635,177.1946,"18,307"
2017/05/25,177.6258,178.488,177.1946,178.488,"26,088"
2017/05/26,176.7635,178.488,176.7635,178.488,"32,976"
2017/05/31,178.0569,178.488,175.039,175.039,"67,935"
2017/06/01,176.7635,178.488,176.3324,178.488,"29,623"
2017/06/02,179.7814,180.2125,178.9192,180.2125,"23,265"
2017/06/03,180.2125,180.2125,179.3503,180.2125,"1,535"
2017/06/05,180.6437,182.7993,180.2125,182.7993,"22,545"
2017/06/06,181.5059,182.3682,181.5059,181.5059,"15,382"
2017/06/07,182.7993,183.2305,181.0748,182.3682,"34,729"
2017/06/08,182.7993,183.6616,182.3682,183.6616,"21,654"
2017/06/09,184.955,185.3861,182.7993,182.7993,"35,190"
2017/06/12,178.488,181.0748,178.488,178.9192,"63,111"
2017/06/13,178.488,179.7814,178.0569,179.3503,"49,983"
2017/06/14,179.7814,180.6437,177.6258,178.488,"39,083"
2017/06/15,178.9192,179.3503,178.488,179.3503,"19,486"
2017/06/16,178.9192,182.7993,178.488,182.3682,"32,856"
2017/06/19,181.9371,183.6616,181.5059,183.6616,"17,489"
2017/06/20,185.3861,187.9729,184.955,186.6795,"28,784"
2017/06/21,186.2484,187.1106,184.955,185.8172,"45,384"
2017/06/22,187.1106,187.9729,186.6795,187.9729,"26,094"
2017/06/23,187.9729,188.404,187.1106,187.1106,"39,686"
2017/06/26,188.8926,191.5656,188.8926,191.5656,"60,140"
2017/06/27,190.6746,190.6746,188.0016,188.4471,"44,504"
2017/06/28,186.6651,187.1106,185.3286,185.7741,"52,273"
2017/06/29,187.5561,187.5561,185.7741,187.1106,"27,049"
2017/06/30,183.9921,185.7741,183.9921,185.7741,"31,709"
2017/07/03,184.8831,186.2196,184.4376,186.2196,"21,066"
2017/07/04,185.3286,185.7741,184.4376,184.4376,"21,592"
2017/07/05,184.4376,185.7741,183.9921,185.7741,"23,463"
2017/07/06,185.3286,185.7741,184.4376,184.8831,"15,260"
2017/07/07,184.4376,184.8831,183.1011,183.5466,"21,567"
2017/07/10,183.9921,184.4376,183.5466,183.5466,"13,326"
2017/07/11,185.3286,188.8926,184.8831,188.8926,"34,593"
2017/07/12,188.0016,189.3381,187.5561,187.5561,"26,887"
2017/07/13,188.8926,192.4566,188.4471,191.1201,"50,136"
2017/07/14,189.7836,191.1201,188.8926,189.7836,"22,364"
2017/07/17,191.5656,192.0111,188.4471,189.7836,"21,400"
2017/07/18,189.7836,190.6746,188.8926,190.6746,"18,756"
2017/07/19,189.3381,191.5656,189.3381,191.1201,"20,661"
2017/07/20,191.5656,192.0111,190.6746,192.0111,"20,795"
2017/07/21,190.6746,191.5656,190.2291,190.6746,"15,422"
2017/07/24,190.2291,191.1201,189.7836,191.1201,"20,002"
2017/07/25,190.6746,191.1201,190.2291,190.6746,"13,853"
2017/07/26,191.5656,191.5656,189.3381,189.7836,"15,900"
2017/07/27,190.2291,192.4566,190.2291,192.0111,"23,045"
2017/07/28,189.7836,190.6746,189.3381,189.7836,"21,121"
2017/07/31,188.4471,191.1201,188.4471,191.1201,"20,363"
2017/08/01,189.3381,190.6746,188.8926,188.8926,"20,314"
2017/08/02,190.6746,192.4566,190.6746,192.4566,"30,528"
2017/08/03,189.7836,190.6746,189.3381,190.2291,"27,097"
2017/08/04,190.2291,190.6746,189.3381,189.7836,"22,187"
2017/08/07,190.2291,192.9021,190.2291,192.4566,"21,594"
2017/08/08,193.7932,195.1297,192.4566,193.7932,"25,223"
2017/08/09,191.5656,192.0111,190.2291,191.1201,"28,129"
2017/08/10,192.0111,192.0111,189.3381,190.6746,"27,440"
2017/08/11,188.0016,190.2291,187.5561,189.3381,"41,592"
2017/08/14,190.2291,190.6746,187.1106,188.0016,"29,414"
2017/08/15,189.7836,191.1201,189.7836,190.6746,"14,385"
2017/08/16,191.1201,191.1201,188.0016,189.7836,"25,206"
2017/08/17,190.2291,190.6746,189.7836,190.6746,"8,353"
2017/08/18,188.8926,189.7836,188.0016,189.3381,"14,363"
2017/08/21,189.3381,189.7836,188.4471,188.4471,"13,847"
2017/08/22,190.2291,191.1201,189.7836,191.1201,"17,330"
2017/08/23,192.0111,192.4566,190.6746,192.0111,"11,757"
2017/08/24,192.4566,193.3477,192.0111,193.3477,"15,426"
2017/08/25,193.7932,193.7932,192.4566,193.7932,"10,975"
2017/08/28,191.5656,192.9021,191.5656,192.4566,"16,512"
2017/08/29,192.4566,192.4566,191.5656,192.4566,"16,561"
2017/08/30,192.4566,194.2387,192.4566,193.7932,"19,674"
2017/08/31,193.7932,194.2387,192.0111,192.9021,"26,945"
2017/09/01,191.5656,193.7932,191.5656,192.9021,"17,805"
2017/09/04,192.9021,194.2387,192.0111,193.7932,"15,053"
2017/09/05,194.2387,194.2387,192.9021,194.2387,"34,514"
2017/09/06,192.9021,194.2387,192.4566,193.3477,"28,148"
2017/09/07,194.2387,194.6842,192.4566,193.3477,"19,198"
2017/09/08,193.3477,194.2387,192.9021,194.2387,"25,512"
2017/09/11,195.1297,195.5752,192.9021,193.3477,"19,387"
2017/09/12,195.1297,195.5752,193.7932,195.1297,"24,862"
2017/09/13,193.7932,195.1297,193.7932,194.2387,"18,336"
2017/09/14,194.6842,195.1297,193.7932,194.6842,"21,508"
2017/09/15,194.6842,195.1297,193.3477,194.6842,"48,901"
2017/09/18,195.1297,196.0207,194.2387,195.5752,"17,812"
2017/09/19,197.3572,197.3572,196.0207,197.3572,"26,255"
2017/09/20,196.9117,197.8027,196.0207,197.3572,"23,434"
2017/09/21,196.9117,198.6937,196.0207,196.9117,"18,645"
2017/09/22,197.3572,197.8027,194.6842,194.6842,"22,456"
2017/09/25,193.7932,194.6842,193.3477,193.3477,"17,458"
2017/09/26,193.7932,194.2387,190.6746,190.6746,"25,003"
2017/09/27,193.7932,193.7932,191.5656,191.5656,"24,794"
2017/09/28,191.5656,192.4566,190.2291,190.6746,"31,616"
2017/09/29,192.4566,193.7932,192.0111,192.9021,"23,954"
2017/09/30,194.2387,194.6842,192.9021,192.9021,"4,254"
2017/10/02,195.5752,196.4662,194.6842,196.4662,"28,360"
2017/10/03,195.1297,198.6937,195.1297,198.2482,"38,330"
2017/10/05,197.8027,200.9212,197.8027,200.0302,"25,397"
2017/10/06,200.4757,200.9212,199.1392,200.0302,"16,040"
2017/10/11,201.8122,208.0492,201.8122,207.6037,"67,649"
2017/10/12,209.3857,211.6132,208.9402,211.6132,"44,176"
2017/10/13,211.6132,211.6132,208.9402,211.6132,"23,145"
2017/10/16,211.6132,212.0587,210.2767,212.0587,"20,673"
2017/10/17,212.0587,212.0587,209.3857,209.8312,"17,652"
2017/10/18,213.3952,213.3952,211.1677,211.6132,"28,970"
2017/10/19,213.3952,215.1772,212.9497,212.9497,"23,481"
2017/10/20,212.0587,213.3952,211.6132,211.6132,"27,056"
2017/10/23,212.9497,213.8407,212.5042,212.9497,"15,959"
2017/10/24,213.8407,213.8407,212.0587,212.0587,"16,100"
2017/10/25,212.5042,212.9497,211.6132,212.0587,"17,205"
2017/10/26,211.1677,212.0587,210.2767,210.2767,"12,959"
2017/10/27,211.6132,213.8407,211.6132,212.9497,"18,040"
2017/10/30,215.6227,218.2957,215.1772,216.5137,"30,241"
2017/10/31,216.9592,218.2957,215.1772,216.5137,"22,582"
2017/11/01,216.9592,218.2957,215.1772,216.0682,"20,465"
2017/11/02,215.6227,216.0682,214.2862,214.7317,"16,309"
2017/11/03,214.2862,214.7317,212.5042,212.9497,"18,327"
2017/11/06,216.9592,217.4047,212.9497,213.3952,"21,029"
2017/11/07,215.6227,217.4047,215.1772,217.4047,"21,689"
2017/11/08,216.5137,216.9592,215.6227,216.0682,"14,579"
2017/11/09,214.2862,216.5137,213.8407,214.7317,"21,366"
2017/11/10,213.8407,215.6227,213.3952,214.2862,"15,061"
2017/11/13,213.8407,215.1772,213.3952,213.3952,"12,087"
2017/11/14,214.7317,214.7317,212.9497,213.8407,"17,229"
2017/11/15,212.9497,213.3952,210.2767,211.6132,"29,720"
2017/11/16,212.0587,213.8407,211.6132,212.0587,"17,274"
2017/11/17,214.2862,216.0682,214.2862,215.1772,"18,741"
2017/11/20,214.7317,215.1772,212.0587,212.5042,"19,811"
2017/11/21,213.8407,216.5137,213.3952,216.5137,"22,878"
2017/11/22,217.8502,217.8502,215.6227,215.6227,"27,251"
2017/11/23,215.6227,216.9592,215.1772,216.0682,"9,562"
2017/11/24,215.6227,217.8502,215.1772,217.4047,"11,404"
2017/11/27,213.8407,213.8407,211.1677,211.1677,"32,247"
2017/11/28,208.9402,209.3857,207.6037,208.4947,"47,834"
2017/11/29,209.3857,210.2767,208.9402,208.9402,"26,535"
2017/11/30,201.8122,205.3762,201.3667,201.3667,"112,262"
2017/12/01,203.5942,208.0492,202.7032,205.8217,"38,356"
2017/12/04,207.1582,208.9402,205.8217,208.4947,"22,939"
2017/12/05,205.8217,205.8217,203.5942,204.4852,"30,189"
2017/12/06,203.1487,204.4852,201.8122,202.2577,"34,031"
2017/12/07,201.8122,201.8122,198.2482,201.8122,"41,619"
2017/12/08,205.8217,205.8217,200.0302,202.2577,"38,183"
2017/12/11,203.5942,204.0397,202.2577,202.7032,"20,649"
2017/12/12,204.4852,204.4852,200.4757,202.7032,"28,188"
2017/12/13,202.7032,203.1487,201.8122,202.2577,"19,619"
2017/12/14,203.1487,205.3762,202.7032,205.3762,"17,263"
2017/12/15,203.5942,204.9307,201.8122,204.9307,"42,725"
2017/12/18,202.2577,203.1487,201.8122,202.2577,"15,702"
2017/12/19,201.8122,203.5942,199.5847,200.4757,"25,899"
2017/12/20,200.4757,200.9212,199.1392,200.0302,"34,514"
2017/12/21,201.8122,202.2577,200.0302,200.4757,"20,826"
2017/12/22,200.4757,202.7032,199.5847,202.7032,"19,106"
2017/12/25,203.1487,204.4852,201.8122,203.5942,"4,579"
2017/12/26,204.0397,204.0397,200.4757,201.3667,"13,755"
2017/12/27,200.4757,201.3667,200.4757,200.4757,"12,515"
2017/12/28,201.8122,203.1487,200.4757,201.3667,"24,370"
2017/12/29,202.7032,204.9307,201.8122,204.4852,"25,610"
2018/01/02,206.2672,207.1582,205.8217,207.1582,"18,055"
2018/01/03,210.2767,212.0587,209.8312,211.1677,"31,706"
2018/01/04,213.8407,213.8407,210.7222,213.3952,"29,179"
2018/01/05,213.8407,213.8407,212.0587,213.8407,"23,721"
2018/01/08,215.6227,216.0682,214.2862,215.6227,"21,846"
2018/01/09,215.6227,215.6227,213.3952,215.6227,"19,043"
2018/01/10,215.1772,215.6227,210.2767,210.7222,"25,716"
2018/01/11,209.3857,210.2767,207.1582,209.3857,"32,070"
2018/01/12,208.9402,212.0587,208.0492,211.1677,"23,141"
2018/01/15,213.8407,213.8407,212.0587,213.8407,"28,576"
2018/01/16,213.8407,214.2862,212.0587,214.2862,"23,407"
2018/01/17,214.2862,216.5137,212.9497,215.6227,"38,118"
2018/01/18,218.2957,222.7508,218.2957,221.4142,"50,119"
2018/01/19,225.8693,227.6513,224.0873,227.6513,"55,061"
2018/01/22,229.4333,233.4428,228.9878,232.9973,"45,907"
2018/01/23,233.8883,237.0068,233.8883,237.0068,"34,606"
2018/01/24,234.3338,234.3338,228.5423,229.8788,"42,600"
